borrower_id,borrower_name,anzsic_division,period,revenue,ebitda,ebit,npat,operating_cash_flow,cash,debtors,inventory,current_assets,current_liabilities,total_assets,total_debt,interest_expense,share_capital,net_worth,scheduled_principal,capex,dividends,intangible_assets,lease_fixed_charges,tax_paid
3,Coastal Services Pty Ltd,Transport & Logistics,FY-1,10338508,1133974,1012466,585653,841482,638706,1763496,1075614,3611098,3742322,7933077,2007279,193388,742275,1643277,179931,336479,63511,112143,147336,233425
3,Coastal Services Pty Ltd,Transport & Logistics,FY0,11474551,1074114,939253,544051,638032,708890,1957277,1193808,4007902,3735152,8804801,1851285,178359,885419,1994669,147717,363536,77027,295012,124047,216844
4,Gamma Corp Pty Ltd,Retail Trade,FY-2,18954718,1647096,1271525,457797,679278,2117107,1608427,2755013,6749845,8508738,16138250,8235003,650068,1576121,4901663,964928,393277,83767,326616,103286,163660
4,Gamma Corp Pty Ltd,Retail Trade,FY-1,19291690,1777585,1395336,575008,877127,2154744,1637021,2803990,6869842,8056550,16425152,7787812,614767,2501220,5176341,603206,599915,103976,779238,180396,205562
4,Gamma Corp Pty Ltd,Retail Trade,FY0,17225924,1786820,1445503,636556,872433,1924013,1461728,2503737,6134215,7015912,14666336,7364905,581382,1910622,5521346,669495,472308,83843,243231,257075,227565
5,Peak Solutions Pty Ltd,Manufacturing,FY-2,45413285,5167429,4627495,2151690,3441364,4993870,4736304,5471406,15923335,20224521,28231582,17561199,1711734,1492149,4313426,1807476,1018922,340207,422066,363737,764071
5,Peak Solutions Pty Ltd,Manufacturing,FY-1,47707061,5127728,4560523,2147423,3536939,5246105,4975529,5747761,16727606,22745292,29657529,16933428,1650544,1829090,5604440,1766818,1437251,257643,1396944,471624,762556
5,Peak Solutions Pty Ltd,Manufacturing,FY0,51660359,6336442,5722235,3048252,3569719,5680829,5387832,6224056,18113758,23994727,32115132,16328098,1591541,3002074,6892894,1108081,1750524,549943,831882,600740,1082442
6,Peak Industries Pty Ltd,Transport & Logistics,FY-2,14312064,1805919,1542830,658536,712176,1484810,1368919,2085136,5181873,6379542,11857365,6319606,615030,1498965,3835835,691870,499781,70237,555385,93546,269264
6,Peak Industries Pty Ltd,Transport & Logistics,FY-1,14131234,1604912,1345148,542567,718857,1466050,1351623,2058791,5116401,6098847,11707549,5967209,580734,1479007,4230957,469142,513407,86509,194594,86976,221847
6,Peak Industries Pty Ltd,Transport & Logistics,FY0,14553089,1823804,1556285,715413,1028863,1509816,1391972,2120251,5269139,6413721,12057051,5634462,548351,1582619,4556497,386706,321704,81999,257886,75843,292521
7,Gamma Logistics Pty Ltd,Manufacturing,FY-2,10242041,1258548,981781,613438,1051348,492988,1313581,1149076,3314155,5098793,8853405,2159727,150036,1409999,3062518,179485,364411,92888,138031,75030,218308
7,Gamma Logistics Pty Ltd,Manufacturing,FY-1,11242925,1347966,1044153,662857,1010051,541164,1441948,1261367,3638024,6752692,9718587,2093013,145401,1563986,3430581,205898,255114,123130,282958,97534,235895
7,Gamma Logistics Pty Ltd,Manufacturing,FY0,12828372,1531244,1184588,769745,1018513,617478,1645287,1439242,4151048,6173913,11089076,2028360,140910,1640411,3828295,154131,394105,112598,295807,111144,273934
8,Sigma Engineering Pty Ltd,Retail Trade,FY-2,13245530,1619221,1344923,608881,891993,1441876,1419203,1734327,4780354,5060003,13060539,5459014,503188,1139939,2318005,529360,472236,76316,429655,167413,232854
8,Sigma Engineering Pty Ltd,Retail Trade,FY-1,12380731,1655838,1399449,669855,839897,1347736,1326543,1621093,4468245,4476203,12207818,5136085,473422,1234808,2683334,360951,444497,106512,349625,160856,256173
8,Sigma Engineering Pty Ltd,Retail Trade,FY0,12461880,1597540,1339471,646727,1028117,1356569,1335238,1631718,4497532,4765705,12287833,4832259,445417,1291905,3085247,453735,485023,70820,379759,123641,247328
9,Vanguard Solutions Pty Ltd,Manufacturing,FY-2,13028811,2009722,1792496,1025032,1223037,920689,2574555,1339153,5249893,6284407,10377126,5531924,391779,1598672,3604249,482711,482205,162801,294108,184806,375686
9,Vanguard Solutions Pty Ltd,Manufacturing,FY-1,12162036,1703620,1500846,830456,1014680,859437,2403276,1250063,4900631,5527369,9686761,5168189,366018,2068449,4219268,566041,398203,140023,268251,155831,304372
9,Vanguard Solutions Pty Ltd,Manufacturing,FY0,14327802,2205392,1966508,1188835,1482650,1012482,2831242,1472669,5773315,6284114,11411740,4828371,341952,1527048,4717541,375268,321493,120346,251938,87484,435722
10,Alpha Industries Pty Ltd,Transport & Logistics,FY-2,35651201,3204900,2827710,1467506,1704322,3154205,2954102,2155317,9477349,15727545,25750088,9276693,844835,3446163,7838885,642993,856900,256107,536383,396279,515369
10,Alpha Industries Pty Ltd,Transport & Logistics,FY-1,35920017,3452449,3072415,1666480,2233717,3177988,2976376,2171568,9548810,13932481,25944247,9011552,820689,4077151,8719388,937898,808146,271638,996160,199177,585247
10,Alpha Industries Pty Ltd,Transport & Logistics,FY0,39201120,3559684,3144937,1737512,2048048,3468280,3248252,2369930,10421043,13770822,28314117,8753990,797232,2993831,9719276,626632,1179586,321636,1393287,437606,610192
11,Titan Solutions Pty Ltd,Retail Trade,FY-2,22158614,1155567,651943,-45956,130417,1787496,4390851,1574631,8243149,8760608,15736491,7602693,743855,1565176,3707213,672443,624334,0,513495,255363,0
11,Titan Solutions Pty Ltd,Retail Trade,FY-1,25101936,1413352,842831,88435,926849,2024928,4974086,1783789,9338084,11109447,17826764,7384436,722500,1570933,3679639,543019,611297,9162,678845,204886,31896
11,Titan Solutions Pty Ltd,Retail Trade,FY0,24587344,1650456,1091630,286529,763850,1983417,4872117,1747221,9146653,10823238,17461314,7172445,701759,1427243,3732700,676702,781045,40641,627174,316545,103342
12,Zenith Engineering Pty Ltd,Professional Services,FY-2,11922618,2876249,2636930,1665039,1983712,641908,1392415,109143,2374966,2488006,4684954,3935284,285615,355747,846677,327693,466992,218280,86027,79394,686276
12,Zenith Engineering Pty Ltd,Professional Services,FY-1,12881718,2934792,2676221,1706614,2104988,693546,1504426,117922,2566017,2943335,5061830,3667715,266196,597886,1845700,361099,514100,288019,156935,172139,703412
12,Zenith Engineering Pty Ltd,Professional Services,FY0,16254631,3782756,3456482,2271957,2657809,875142,1898341,148799,3237895,3611331,6387205,3418339,248096,1070340,2869668,207301,576098,387461,105709,242053,936429
13,Nova Solutions Pty Ltd,Retail Trade,FY-2,29738685,2736867,2160337,1106551,1217445,1389666,4594426,3237166,9736035,9414278,23788535,7067941,680531,1435326,3844743,673062,1097048,204935,712530,267218,373255
13,Nova Solutions Pty Ltd,Retail Trade,FY-1,30359200,2392152,1803592,855490,1637581,1418662,4690291,3304711,9939183,9813251,24284897,6849855,659532,1839113,4508674,760447,900194,128733,759059,430292,288569
13,Nova Solutions Pty Ltd,Retail Trade,FY0,35835458,2869072,2174347,1147946,1649600,1674563,5536336,3900822,11732034,11625944,28665459,6638499,639182,1846534,5021968,533971,1267592,219206,407026,405239,387218
14,Apex Enterprises Pty Ltd,Manufacturing,FY-2,22231937,3962405,3736834,2260745,2783376,2602402,4303235,2974075,10623596,9936762,23008539,5991630,511390,3191628,6461269,535544,770894,254078,1130103,130017,964699
14,Apex Enterprises Pty Ltd,Manufacturing,FY-1,24880939,4344853,4092404,2532256,3095207,2912486,4815979,3328445,11889429,10491300,25750076,5619058,479591,3884745,7817716,669412,870825,263594,681425,262609,1080557
14,Apex Enterprises Pty Ltd,Manufacturing,FY0,26056019,4123750,3859378,2389828,2588404,3050037,5043428,3485641,12450945,12775835,26966204,5269654,449769,3339362,9337069,463194,701685,424754,1125766,339265,1019781
15,Nova Industries Pty Ltd,Professional Services,FY-2,2850327,480979,403139,247449,366652,120764,415119,52890,651597,583895,1270189,1096971,67967,146546,407310,118962,72673,26844,33428,42686,87723
15,Nova Industries Pty Ltd,Professional Services,FY-1,2742038,417215,342332,205971,268771,116176,399348,50881,626842,629493,1221932,1022319,63341,232351,555779,122601,103460,27640,18907,32929,73019
15,Nova Industries Pty Ltd,Professional Services,FY0,3064672,523616,439923,281202,365880,129846,446337,56868,700597,755623,1365708,952748,59031,257742,679362,74106,72792,48300,45061,33565,99690
16,Core Enterprises Pty Ltd,Retail Trade,FY-2,27713067,1788576,1260210,348740,872239,1829822,5342537,2232526,10437804,14171521,19875695,9938877,763458,1436431,3940842,1189506,711254,62209,916312,294360,148013
16,Core Enterprises Pty Ltd,Retail Trade,FY-1,33942479,2764584,2117450,972316,1313145,2241134,6543446,2734358,12784040,14141430,24343404,9535383,732463,1374045,4150086,958076,1060016,139857,1010339,204298,412671
16,Core Enterprises Pty Ltd,Retail Trade,FY0,34708993,2734045,2072297,961492,1504417,2291745,6691214,2796107,13072739,14882622,24893144,9148270,702727,2247752,4733475,996048,1243953,141941,433319,400168,408078
17,Coastal Industries Pty Ltd,Construction,FY-2,28813487,1740797,1190392,448327,982322,2061031,3103641,2532655,8345581,13123766,17645495,9480270,588141,1603710,4374325,698650,1061030,55704,210736,187418,153923
17,Coastal Industries Pty Ltd,Construction,FY-1,33546000,1510800,869992,226783,1219546,2399547,3613403,2948635,9716313,17695737,20543704,9112869,565348,1793555,4643322,727609,845593,33561,584074,183622,77861
17,Coastal Industries Pty Ltd,Construction,FY0,26836800,1572739,1060093,384608,635338,1919638,2890722,2358908,7773050,12950203,16434963,8759708,543438,2179958,4779391,1014576,709828,64739,632127,171274,132047
18,Atlas Engineering Pty Ltd,Transport & Logistics,FY-2,4333352,287638,193154,17936,134793,330880,492006,673768,1618433,1408402,4044094,1786896,168209,375023,1092499,183131,93436,1828,184414,27895,7008
18,Atlas Engineering Pty Ltd,Transport & Logistics,FY-1,4853350,479840,374018,150439,238220,370585,551046,754619,1812643,1732461,4529382,1750650,164797,422334,1103261,182619,99963,17534,152881,57905,58782
18,Atlas Engineering Pty Ltd,Transport & Logistics,FY0,5448520,548816,430017,193109,263245,416030,618621,847159,2034929,1792770,5084823,1715139,161454,433879,1193524,135546,146726,33315,76481,36665,75454
19,Zenith Enterprises Pty Ltd,Manufacturing,FY-2,8168319,1131952,962672,563684,774723,477867,689657,980837,2444190,3570350,5676312,2903413,180072,692584,1675386,190593,231861,101239,211745,55417,218915
19,Zenith Enterprises Pty Ltd,Manufacturing,FY-1,8606318,1213076,1034718,620297,832328,503491,726638,1033431,2575252,3828532,5980685,2797754,173519,909510,2013596,317208,260700,94299,95541,60205,240902
19,Zenith Enterprises Pty Ltd,Manufacturing,FY0,10360328,1439112,1224404,761471,791070,606104,874730,1244050,3100101,4166452,7199578,2695940,167204,1184975,2385775,225651,209790,107212,348906,140795,295729
20,Metro Holdings Pty Ltd,Transport & Logistics,FY-2,11637307,1752327,1465785,824753,1023679,487035,1249747,1585990,3781012,4314958,7268145,4605348,295592,822035,1975106,321326,450453,113586,350295,145874,345439
20,Metro Holdings Pty Ltd,Transport & Logistics,FY-1,10002278,1491271,1244988,680426,837254,418607,1074159,1363160,3249784,4145622,6246979,4355757,279573,943099,2469958,440253,293595,94859,123340,138135,284989
20,Metro Holdings Pty Ltd,Transport & Logistics,FY0,8826349,1433498,1216169,670793,859325,369393,947875,1202899,2867720,3606626,5512546,4119692,264421,1209871,2878213,331094,211257,75874,76938,68679,280955
21,Gamma Trading Pty Ltd,Transport & Logistics,FY-2,22792443,1676040,1222240,604783,1052205,1042658,4633829,3629304,9627934,13176924,21596451,5189224,372539,1859186,5582097,547987,844202,78382,1029320,136845,244918
21,Gamma Trading Pty Ltd,Transport & Logistics,FY-1,22732301,2065381,1612778,892071,1395950,1039907,4621601,3619728,9602530,15311418,21539465,5006843,359446,2084609,5944967,532434,720263,122326,319349,173797,361261
21,Gamma Trading Pty Ltd,Transport & Logistics,FY0,23773603,2002780,1529445,841750,1540376,1087542,4833304,3785537,10042394,15055304,22526127,4830871,346813,2151834,6480209,349798,825006,118254,1032708,320106,340882
22,Highland Industries Pty Ltd,Manufacturing,FY-2,25369853,4125128,3745389,2186394,2421158,1896778,3742127,2881926,8874808,12951233,15873218,6626583,646760,1414351,4141058,609070,567754,351600,678299,165634,912235
22,Highland Industries Pty Ltd,Manufacturing,FY-1,28019647,4634100,4214699,2531082,2903927,2094890,4132979,3182934,9801751,13592827,17531121,6429938,627567,1911986,5452894,458032,1074188,370807,695365,398066,1056050
22,Highland Industries Pty Ltd,Manufacturing,FY0,28306192,4424786,4001095,2393504,3349967,2116314,4175245,3215484,9901989,13287665,17710404,6239128,608944,2133368,6971544,744429,748151,335199,509181,238165,998648
23,Core Engineering Pty Ltd,Transport & Logistics,FY-2,32600453,5204974,4462327,2984990,4028982,3708243,5220782,3190119,12757288,12527729,26478168,6538907,465805,3317954,9002901,600826,1203614,564906,1268342,294428,1011532
23,Core Engineering Pty Ltd,Transport & Logistics,FY-1,40811295,5909521,4979828,3399204,4343022,4642211,6535703,3993592,15970374,16945176,33147035,6018397,428726,3620781,10793895,599431,849082,594731,817188,433342,1151898
23,Core Engineering Pty Ltd,Transport & Logistics,FY0,42844809,5718385,4742368,3247336,4102189,4873520,6861359,4192581,16766133,18790890,34798659,5539319,394598,5590478,12833417,432891,1242185,646807,1375954,522613,1100434
24,Titan Engineering Pty Ltd,Professional Services,FY-2,22862986,4508801,4238230,2630939,2619195,2136041,4305029,154516,6912946,9591526,18562316,8387800,725682,1444242,3536204,848222,736216,347413,835384,328298,881608
24,Titan Engineering Pty Ltd,Professional Services,FY-1,26010366,5402183,5094364,3304443,3987411,2430095,4897671,175788,7864601,10232886,21117655,7890143,682627,2251921,5114768,484405,652916,653000,726639,352176,1107295
24,Titan Engineering Pty Ltd,Professional Services,FY0,27983258,5635389,5304222,3491964,3683007,2614418,5269161,189121,8461132,11213183,22719433,7422013,642126,3481891,7097434,623476,909723,488762,630640,230083,1170132
25,Metro Services Pty Ltd,Construction,FY-2,39771138,5505904,4515609,2387400,3963131,2895283,4532970,4733142,12820232,12041850,24846975,15557149,1232504,3597739,7690192,1511845,887456,284719,317684,306489,895705
25,Metro Services Pty Ltd,Construction,FY-1,38121478,4706382,3757164,1894809,2901149,2775190,4344948,4536817,12288464,12593095,23816351,14534182,1151460,2989175,9122632,1685588,1059825,218654,369627,527925,710895
25,Metro Services Pty Ltd,Construction,FY0,36097047,4959333,4060522,2170462,3217693,2627814,4114211,4295890,11635888,11577820,22551591,13578481,1075746,4666718,10259517,1613793,1442878,308813,938812,419972,814314
26,Beta Corp Pty Ltd,Manufacturing,FY-2,42966230,5813483,4531335,2353491,4053986,4029423,5781602,2596428,13292562,14355730,25581630,19328594,1233318,3529621,7668456,1220957,982989,271481,1048462,568498,944526
26,Beta Corp Pty Ltd,Manufacturing,FY-1,47789601,6841933,5415851,3029563,5049172,4481764,6430642,2887902,14784780,15497641,28453413,18343076,1170434,3616343,9080550,1101155,1795999,464686,324185,319235,1215854
26,Beta Corp Pty Ltd,Manufacturing,FY0,49599106,6796175,5316096,3000963,5041561,4651461,6674132,2997249,15344591,14490927,29530773,17407807,1110757,5215988,10898288,1500187,1087307,320358,1065775,320839,1204376
27,Nova Holdings Pty Ltd,Retail Trade,FY-2,17551428,1588372,1235876,537749,794910,948264,1628638,1300809,4486626,5294665,9197343,6802345,508245,998657,2102362,632989,418532,69320,101751,173091,189882
27,Nova Holdings Pty Ltd,Retail Trade,FY-1,17049715,1333812,991393,375050,719947,921157,1582083,1263625,4358375,5361609,8934435,6476644,483910,1200670,2425011,710571,416285,65061,107020,129609,132432
27,Nova Holdings Pty Ltd,Retail Trade,FY0,20087476,1566542,1163113,519082,1061135,1085281,1863964,1488766,5134910,6658517,10526290,6166537,460740,1257635,2650042,632884,665327,81310,358550,184535,183291
28,Southern Group Pty Ltd,Construction,FY-2,50463632,4331317,3143754,1689410,3061349,5795413,7071547,5398042,18859696,23410356,34511422,10926376,748359,2000970,5861123,829185,1145214,229888,1571464,306518,705984
28,Southern Group Pty Ltd,Construction,FY-1,48372573,3311144,2172790,1015204,2450065,5555269,6778524,5174364,18078208,27976651,33081374,10707148,733344,2643671,6874769,1034622,1799732,107131,1561000,297649,424241
28,Southern Group Pty Ltd,Construction,FY0,51653939,4659320,3443745,1921954,3064702,5932112,7238347,5525368,19304548,29193472,35325458,10492320,718630,2508807,7483892,758840,1364074,260880,494318,578302,803161
29,Titan Logistics Pty Ltd,Manufacturing,FY-2,39679404,6771637,5622010,3301647,3981420,2606415,6121920,2731041,12086162,16892129,24277560,13658255,912558,2447524,5736880,1273823,1104271,517677,610428,485324,1407804
29,Titan Logistics Pty Ltd,Manufacturing,FY-1,46156872,8534739,7197440,4449874,5827101,3031900,7121294,3176871,14059169,23370517,28240753,12724421,850165,3745897,7717868,1008320,1227092,650490,389315,410379,1897402
29,Titan Logistics Pty Ltd,Manufacturing,FY0,50443858,9430725,7969219,5031694,6658156,3313498,7782709,3471934,15364965,20881388,30863715,11854433,792038,5054242,10387792,957173,1463928,834634,513650,360441,2145487
30,Peak Trading Pty Ltd,Professional Services,FY-2,19377409,5728509,5168300,3514847,3958839,2096086,1656050,394694,4629182,5537947,12172157,5776816,480395,1129190,2734014,411636,687862,690814,304043,190240,1173059
30,Peak Trading Pty Ltd,Professional Services,FY-1,20770937,6128699,5528203,3811861,4748861,2246826,1775145,423078,4962090,5869510,13047519,5341048,444157,1714725,4842922,510905,621712,748489,183243,221084,1272186
30,Peak Trading Pty Ltd,Professional Services,FY0,21217014,6460483,5847091,4076073,4766631,2295079,1813268,432164,5068656,6612220,13327728,4938151,410652,2368012,7130038,556475,651994,756373,565609,314467,1360365
31,Southern Solutions Pty Ltd,Transport & Logistics,FY-2,17319437,2369800,1893746,1154460,1498798,1332526,2744640,1025111,5546825,7913039,9633292,3567676,280230,1245925,3270155,221745,374355,188666,465753,138861,459055
31,Southern Solutions Pty Ltd,Transport & Logistics,FY-1,17643707,2604557,2119590,1326321,1712350,1357475,2796028,1044304,5650677,7592296,9813655,3384913,265875,1830011,3962831,311669,582831,189535,113995,247539,527394
31,Southern Solutions Pty Ltd,Transport & Logistics,FY0,16652130,2485075,2027363,1270079,1724086,1281184,2638891,985614,5333109,8696273,9262127,3211512,252255,2354964,4758624,384137,623259,181758,354109,90773,505030
32,Apex Enterprises Pty Ltd,Transport & Logistics,FY-2,34149127,3028976,2416181,1003695,1486830,3299745,3203738,5116954,12812261,11561414,31946564,10629053,1049620,3383406,8278477,694983,1164375,139146,889485,182758,362867
32,Apex Enterprises Pty Ltd,Transport & Logistics,FY-1,36940355,3228201,2565319,1131569,1933697,3569455,3465600,5535196,13859489,13753789,34557763,10376219,1024653,4260818,8880694,670783,1095605,154074,1632073,242891,409097
32,Apex Enterprises Pty Ltd,Transport & Logistics,FY0,45147244,3989085,3178932,1600150,1901498,4362466,4235538,6764927,16938596,15586701,42235320,10129400,1000279,4725909,9559636,1081741,1315052,222662,1456647,318658,578504
33,Sigma Enterprises Pty Ltd,Transport & Logistics,FY-2,22567204,2158982,1845241,873976,1303531,1530780,4259090,3583160,9660026,12664917,23716836,7721198,629191,2060163,6121205,550322,755032,150491,730051,337338,342074
33,Sigma Enterprises Pty Ltd,Transport & Logistics,FY-1,24864527,2408581,2062902,1064209,1305743,1686612,4692662,3947923,10643409,13976506,26131191,7144062,582161,2419971,6645591,474643,713492,124393,792499,245234,416532
33,Sigma Enterprises Pty Ltd,Transport & Logistics,FY0,22952849,2157391,1838289,934054,1764943,1556939,4331873,3644392,9825104,13753608,24122127,6610066,538646,3136820,7284116,593973,564018,180895,662555,224467,365589
34,Gamma Logistics Pty Ltd,Professional Services,FY-2,3536992,879090,780284,484743,569569,239857,664085,61153,1070766,1190141,2697353,1127913,104770,303032,677447,86122,123455,78859,43635,36409,190771
34,Gamma Logistics Pty Ltd,Professional Services,FY-1,3475633,934595,837502,527578,675664,235696,652565,60092,1052190,1177949,2650559,1101271,102295,379514,968292,73393,78630,92182,47463,48062,207629
34,Gamma Logistics Pty Ltd,Professional Services,FY0,4103712,1070272,955634,614082,724033,278289,770489,70951,1242331,1295563,3129540,1075260,99879,440827,1284839,126195,98373,116349,67764,51729,241673
35,Gamma Services Pty Ltd,Transport & Logistics,FY-2,16876575,1615281,1208546,622445,1149338,913165,1888044,1592058,4798720,6947916,9023561,3670367,335062,616450,1589754,440186,417188,93238,418191,98079,251039
35,Gamma Services Pty Ltd,Transport & Logistics,FY-1,15634961,1589255,1212444,636890,828978,845983,1749140,1474930,4445677,5599983,8359695,3491005,318688,707924,1963221,337968,551337,104641,348249,80646,256865
35,Gamma Services Pty Ltd,Transport & Logistics,FY0,16878770,1614437,1207649,644572,955776,913284,1888290,1592266,4799344,5356975,9024735,3320409,303115,876822,2345355,376490,651522,120353,256639,164939,259963
36,Highland Solutions Pty Ltd,Professional Services,FY-2,11369335,3360542,3054062,1884449,2217869,961393,2250388,107352,3533888,5826238,7077966,5101489,487682,978314,2242471,378099,412022,214838,145692,85615,681932
36,Highland Solutions Pty Ltd,Professional Services,FY-1,12525112,3330398,2992762,1865354,2189844,1059125,2479157,118265,3893134,6001598,7797494,4732271,452386,1141417,3373140,362362,316813,312952,212078,159794,675022
36,Highland Solutions Pty Ltd,Professional Services,FY0,14387641,4071475,3683631,2396688,2980758,1216621,2847816,135851,4472057,6819094,8957010,4389774,419645,1505353,4492352,517428,550553,434873,244532,182989,867298
37,Nova Trading Pty Ltd,Construction,FY-2,16719121,2390558,1952537,1183831,1779474,1527797,2362378,2495161,6898814,6192162,12810428,3716000,334005,1709604,3791413,401935,401447,152647,258631,150814,434701
37,Nova Trading Pty Ltd,Construction,FY-1,17614110,2667172,2205703,1379682,1667652,1609581,2488838,2628729,7268113,6562417,13496181,3553559,319405,1438556,4501712,269935,417587,247799,207862,127648,506617
37,Nova Trading Pty Ltd,Construction,FY0,20669343,2852286,2310774,1466745,1914103,1888769,2920537,3084691,8528795,7729393,15837144,3398218,305442,2097946,5329521,259787,605127,279797,756254,278348,538586
38,Pacific Solutions Pty Ltd,Retail Trade,FY-2,3948154,460191,353718,189308,262980,387985,704586,622407,1806720,1757253,4378210,1014341,96055,294056,908789,105686,118861,33827,76799,48240,68356
38,Pacific Solutions Pty Ltd,Retail Trade,FY-1,4334047,462562,345683,185030,308234,425907,773452,683241,1983309,2055704,4806137,990979,93843,355446,1022374,99770,137185,35399,200941,61451,66811
38,Pacific Solutions Pty Ltd,Retail Trade,FY0,4527588,525761,403663,229216,350543,444926,807991,713752,2071875,1948182,5020759,968154,91681,454008,1133392,88475,126329,28577,243130,67198,82766
39,Urban Enterprises Pty Ltd,Retail Trade,FY-2,15796184,1246102,967209,327808,351584,910060,2913933,907871,5227193,5542079,13622238,7029217,506475,806934,2127502,645827,552773,57238,261954,191136,132926
39,Urban Enterprises Pty Ltd,Retail Trade,FY-1,18309972,1495665,1172390,500102,1004377,1054886,3377653,1052349,6059043,7130077,15790067,6516001,469496,1136596,2324187,695624,460537,94305,175069,207921,202792
39,Urban Enterprises Pty Ltd,Retail Trade,FY0,17767609,1277126,963427,375816,754282,1023639,3277603,1021177,5879566,6434389,15322346,6040256,435217,813979,2624248,451461,663304,45696,740692,221028,152394
40,Sigma Solutions Pty Ltd,Professional Services,FY-2,12951078,2312942,2033559,1225295,1436242,591921,1208178,42618,2356806,3671558,5799289,3046829,292848,763088,1601662,230469,443639,179831,253329,175670,515416
40,Sigma Solutions Pty Ltd,Professional Services,FY-1,13576088,2367950,2075084,1270674,1645851,620486,1266484,44675,2470544,4187346,6079159,2808138,269906,999451,2336839,194357,392999,148633,141085,78435,534504
40,Sigma Solutions Pty Ltd,Professional Services,FY0,14909077,2347775,2026154,1251116,1373197,681410,1390836,49061,2713118,4443617,6676050,2588147,248762,1253411,3099243,193545,401371,224772,249965,188603,526277
41,Sigma Solutions Pty Ltd,Construction,FY-2,42889580,4996577,4044141,1937395,2619592,2478565,5688049,2757678,11920568,12562725,25085295,15263826,1339273,3336985,6871963,1367798,1374180,293649,702967,255273,767472
41,Sigma Solutions Pty Ltd,Construction,FY-1,41848496,4678439,3749121,1753044,2239958,2418401,5549980,2690739,11631213,11928788,24476385,14834840,1301633,3200604,8034400,1306938,1454248,259730,421860,209480,694444
41,Sigma Solutions Pty Ltd,Construction,FY0,40644745,4983295,4080709,2016751,2491800,2348837,5390337,2613341,11296647,12459270,23772333,14417910,1265051,3686568,9086227,1697449,871302,387556,443987,378787,798908
42,Southern Services Pty Ltd,Construction,FY-2,45340654,3024581,2275338,589595,1555129,2625934,8476573,7447438,19393588,26431670,55028123,16340333,1476933,6011388,14051687,1946179,1091677,76836,1142671,480963,208810
42,Southern Services Pty Ltd,Construction,FY-1,45835603,3112812,2355389,697502,1454666,2654599,8569105,7528736,19605293,27923384,55628822,15609340,1410861,6799285,14405444,1785184,1401233,100427,1270229,460878,247026
42,Southern Services Pty Ltd,Construction,FY0,46327114,3333031,2567487,900737,1684671,2683065,8660995,7609469,19815527,26126889,56225350,14911048,1347746,7213134,14823945,1609005,1698201,178852,1793100,526587,319004
43,Peak Services Pty Ltd,Construction,FY-2,23345246,1403592,815599,178962,820948,974381,2076900,2767473,6646664,10934703,11419390,7902256,574134,1697295,3546297,758345,888942,21525,251351,169117,62503
43,Peak Services Pty Ltd,Construction,FY-1,22867171,1417628,841676,207339,714841,954427,2034368,2710799,6510551,9163601,11185538,7734180,561923,1104152,3653674,906360,708651,34418,325380,124846,72414
